Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths)
57.32108722,53.82134065,56.08990098,55.94141391,58.50593034,59.7017978,61.99754023,63.41109902,65.61108403,68.16500625,69.60305551,71.60407691,75.06972967,77.32369469,81.32081929,82.30857452,84.94916588,87.52910865,89.52841731,91.97105168,95.01408605,95.92798528,96.32598004,98.12817483,103.6995394,108.0834762,109.47410049999999,111.966968,2.857136887,2.4182646080000003,2.41747161,2.132227041,2.079142026,2.022458815,1.982030914,1.946493798,1.8638503569999998,1.927859582,1.862133096,1.941783998,1.9473741690000002,2.036263456,2.110954804,2.141503378,2.127151548,2.036948876,1.991461951,1.968827704,1.915290468,1.760783244,1.605700514,1.646740712,1.533534472,1.5681743719999999,1.5233746769999998,1.49842298,674.0000662,607.2740705,602.2398736,543.1309837,514.4428538,486.91470660000005,466.54444739999997,431.58930080000005,404.96878080000005,407.2209786,396.2690026,395.233729,390.36732969999997,384.5060948,391.79268010000004,413.9565703,416.0145516,404.14268730000003,401.0158101,404.18098210000005,399.7796213,379.61770260000003,356.9175295,362.9109466,345.53079019999996,349.5927862,349.36787180000005,349.6264028
12.61441097,11.63341716,10.508438400000001,8.500307673,7.381151537999999,5.9876891610000005,5.078269227,4.487023231,4.38003219,4.089914267,4.24340699,4.188408112,3.958695376,4.2728241680000005,4.228086986,4.0958139430000005,3.94708678,3.9914926580000003,4.091331032,4.1975169569999995,4.274921372,4.0711164680000005,3.747949775,3.6533833369999997,3.651370113,3.7453483860000003,3.917728142,3.750960722,0.98330869,0.898471569,0.800155178,0.629433122,0.534337485,0.417165247,0.343103812,0.289547126,0.275422781,0.247298716,0.252971447,0.24456093199999998,0.21955370899999999,0.234420078,0.22533822899999997,0.206746409,0.19114941800000002,0.18974924899999998,0.196937107,0.202696355,0.204194238,0.187236197,0.164171104,0.156790695,0.15286641,0.157473219,0.166606537,0.153621461,233.7887429,239.23200780000002,247.2145958,230.5215892,220.4526367,196.2797434,179.1091178,162.92994030000003,155.9837451,146.5330863,151.88073640000002,156.7159816,156.23126630000002,164.8837577,159.02595380000002,149.53867160000001,134.9423917,123.7491525,118.7484132,116.16422659999998,113.2102942,102.05908459999999,92.75478570000001,91.12266953,90.58554125,91.88120234,92.65917266,89.47592712
4397.145498,4193.842954,3970.0888990000003,3731.3012479999998,3483.511526,3227.6704579999996,2995.722147,2774.578302,2605.8513199999998,2391.289883,2139.987528,1889.9750170000002,1747.8477420000002,1661.3953210000002,1619.522472,1551.029927,1476.05176,1389.366425,1329.9540359999999,1287.499719,1253.850635,1213.247055,1176.855589,1135.951771,1087.771266,1042.314873,981.4516312000001,917.4078245,900.8946976,854.8831891000001,805.0682673,750.9547521000001,699.1861207999999,644.1550611,596.5054438,551.2145759,516.7473516,472.05549249999996,421.52989699999995,369.9037653,341.27198419999996,321.8520785,310.8220582,295.36362460000004,277.1468396,255.16612310000002,237.2590363,223.3691892,213.3870057,203.7642404,195.2792515,186.0866233,176.4785144,167.4143759,156.4383986,145.6027695,2488.2147210000003,2369.575857,2233.2210149999996,2110.234043,2031.359809,1974.897634,1920.422925,1864.6766469999998,1840.4393149999999,1830.42887,1820.4106160000001,1800.9063620000002,1848.7899289999998,1930.671851,1999.8732870000001,2005.1609030000002,2005.672866,1988.827709,1970.1044539999998,1946.609052,1919.5630019999999,1887.691633,1856.8198260000001,1816.3893260000002,1761.9521359999999,1701.5367239999998,1622.348057,1538.975598
11616.703370000001,11455.27144,11501.55555,11090.902829999999,11105.28831,10961.69261,10906.00251,10908.213590000001,10730.3355,10580.54257,10397.300729999999,9941.65437,9555.471178,9296.605747,9340.287573,9529.259417,9265.544748999999,8844.80496,8532.039788,8200.310765,7993.158998000001,7930.84438,7862.065412999999,7758.375523999999,7652.65635,7524.948455,7215.965994,7304.041634,3102.847361,3039.261707,3007.663642,3026.266126,2915.450833,2920.190515,2878.3436149999998,2904.861092,2890.574104,2801.927307,2681.3861460000003,2586.528225,2168.303762,1967.071683,1950.976752,1973.920797,1971.2218719999998,1957.683655,2031.060741,1948.6918050000002,1836.542563,1786.424431,1792.6780039999999,1697.6827649999998,1680.3673829999998,1696.23194,1665.8698,1727.5189920000003,4160.375724,4207.404188,4281.917531,4311.889747,4409.527213,4459.597383,4455.329114,4439.5006,4436.964277,4448.1813950000005,4456.192844,4452.866526,4431.338304999999,4386.3566359999995,4337.977011,4283.026069,4241.278822,4202.288901,4147.805831000001,4089.6695579999996,4058.857496,4037.6187090000003,4044.942218,4063.7793810000003,4094.628036,4142.957539999999,4198.470448,4272.428238
35.1056513,38.57811832,47.89419042,52.00862618,56.79586991,59.447388399999994,60.25970685,67.77669098,70.70947841,81.99042718,98.52282544,109.39468290000002,119.801323,129.7121315,131.9757184,139.1267407,143.2012814,152.854167,161.130061,169.2386863,177.1671246,187.9012269,198.8870031,206.39599130000002,206.4074313,217.62016260000001,212.39562880000003,213.30654730000003,0.9876826040000001,0.986997612,0.938167148,0.8303460659999999,0.7324468890000001,0.607009605,0.5416274289999999,0.540259488,0.55054556,0.526593349,0.5411659329999999,0.5396169510000001,0.536502227,0.5179415510000001,0.478089115,0.5129075670000001,0.5138016089999999,0.54550739,0.5201271479999999,0.520537618,0.5233140620000001,0.500477736,0.520457394,0.512910454,0.476973745,0.454954553,0.41836333600000003,0.40280569299999996,323.1410268,317.3719402,307.3097293,284.4108884,261.0463379,223.6372758,194.570683,190.9939271,177.8533631,165.88187539999998,159.29212719999998,149.4346544,141.925165,138.9855258,133.85252350000002,137.8275021,140.22827019999997,140.9046785,135.3543805,132.2443298,131.9158059,129.48852720000002,132.3432368,125.69949609999999,118.4815727,113.20590770000001,107.64969640000001,105.34088510000001
11710.41314,11673.64074,11326.59102,11116.05386,10958.637359999999,10753.47903,10542.261340000001,10075.125890000001,9758.633365000002,9457.176959,9184.431118,9126.491590000001,9079.530868,8916.784217,8622.513835,8427.885543,8386.672419,8517.89733,8704.617378,9062.997573999999,9475.38772,9044.985067,8776.398990000002,8459.862287,8019.450645999999,7400.367048,6827.270124,6534.328122,2998.7951550000002,2965.987248,2885.748228,2842.607213,2808.354762,2761.709992,2742.367044,2670.166818,2631.095107,2589.191688,2547.2908829999997,2559.65513,2397.229746,2346.815349,2094.9159649999997,2044.537325,2023.85277,2103.560156,2198.832427,2313.741764,2410.098571,2358.291855,2174.356427,2057.163194,1965.148282,1623.14309,1422.190654,1326.0959369999998,4394.714106,4444.8326289999995,4494.0192210000005,4537.583031,4588.185995000001,4620.47573,4664.322944,4721.818418,4794.3321,4882.789475,4974.9543060000005,5089.098597,5143.29205,5182.466283,5232.481258,5294.805457,5399.081349,5528.360114,5659.786466,5788.235507,5899.373456,5976.089124,6059.376951,6066.660543,6032.564513,5961.327892,5889.726139,5767.554297
25283.99285,25702.07681,26170.55041,26812.89232,27598.34307,28501.76299,28583.65463,28693.29246,28803.84455,28506.96901,27505.568330000002,27293.953589999997,26872.411330000003,26442.904459999998,26452.327869999997,26546.132419999998,24418.56968,22652.60387,20748.0327,19625.494469999998,18644.05524,18404.82885,18265.0634,18242.93937,18289.342419999997,18055.25318,18279.64825,17965.42745,8107.3020400000005,8132.114437,8158.142145000001,8198.522185,8263.067933,8368.292146,8350.192462,8308.653955,8251.698253,7931.470292,6943.747925,6579.160093,5917.025074,5601.169283,5431.4957,5247.179247,4770.734579,4464.255816,3737.71269,3344.849972,3024.341119,2886.212996,2739.277408,2698.9105,2662.7513059999997,2460.895642,2435.2368850000003,2380.004658,7237.485829000001,7231.6072540000005,7267.492646,7327.549594,7420.060648000001,7502.732215000001,7628.244318999999,7638.501339,7650.272748,7630.2006200000005,7700.706104000001,7670.915589,7619.933433,7873.143578,8065.984231999999,8225.302361,8409.570031000001,8617.644148000001,8567.311192000001,8577.329729000001,8679.751117,8814.035054,8953.703274,9104.224332,9193.218137,9274.756789000001,9354.994207,9352.102807
199229.6155,189041.5213,175518.0003,163297.1941,152627.6131,141389.197,128793.01800000001,118251.8113,108015.255,99386.64523,92047.67594,85399.62846,78920.99325,72042.57576,65582.86963,58710.36822999999,52722.31686,47423.42729,42399.734260000005,37815.88156,34066.80251,30342.23747,26771.46423,23657.03344,21160.53305,18664.4138,16833.51635,15368.4567,51738.48625,48564.823410000005,44269.782660000004,40542.70637,36763.674569999996,33354.68366,30112.06252,27211.701869999997,24383.941280000003,21981.153430000002,19926.27765,18042.790680000002,16329.880130000001,14712.40374,13209.14762,11866.40717,10480.823359999999,8538.724593,7349.466737000001,6396.048613,5709.351051,5068.0410329999995,4515.187161,3928.157132,3530.032056,2924.822495,2584.094126,2321.903151,101729.528,100935.1221,98351.46162999999,95361.12242,92389.71185,89894.55364,87515.82139,85233.54302000001,82916.1934,80947.62715,79188.16702000001,77611.59182,75604.01757000001,72570.5381,68962.1277,64926.437939999996,60412.74757000001,55436.66889,50565.42832,46431.25634,43317.48978,40883.14917,38096.04871,35306.34224,33062.3622,30821.56878,29013.76453,27148.990339999997
255.72432169999996,243.6636082,228.0993981,185.82184809999998,198.3768981,169.90505359999997,176.9976728,188.0575011,159.1306596,156.8827521,139.08544730000003,129.6906317,117.8088318,109.804869,106.10294820000001,96.77470213,91.13465708,87.23641283,83.44795624,84.48498483,77.01791183,63.22486092,55.47722494,50.32645315,48.12129601,40.81388786,37.39887975,35.82741115,40.98832969,38.4927066,35.53582554,28.52422848,30.23656712,25.70798665,26.63380446,28.14419404,23.69283549,23.20919543,20.46508687,18.9593701,16.95359107,15.65631269,14.91952514,13.26118939,12.23664737,11.49145188,10.801161599999999,10.84223161,9.688156632,7.78413333,6.733285989,6.02944125,5.678779577,4.690191669,4.2114111869999995,3.9759535130000003,324.52178710000004,319.16748939999997,304.3170511,254.78035,253.4048176,214.6043424,215.4256827,221.39072709999996,208.0131116,215.53305600000002,200.6535833,198.2043073,192.9516655,193.0036797,196.369147,188.8812014,189.15563400000002,192.6668368,197.7154546,208.2047708,204.8758461,185.71204219999998,173.6315962,163.30083169999997,160.84935269999997,142.3581554,129.73616840000003,122.53866940000002
13.85441752,13.88157733,13.74574396,13.22704841,12.32397766,10.25462442,9.338771205,8.827393949,8.569029729,7.927147906,7.440242577,7.37503918,7.009429685,7.118891802,7.23805619,7.1374941739999995,6.979477533,6.885770491000001,6.820423196,6.619719575,6.496968806,6.325996776,6.055253433,5.738288231,5.499168768,5.382487367,5.219312321,5.110571831000001,2.132093662,2.078696026,1.9961671319999998,1.8546109780000002,1.6637321,0.969625704,0.815252227,0.69765125,0.617005646,0.48625529700000003,0.44729017600000004,0.44080503200000004,0.400315693,0.392646428,0.404290228,0.403529969,0.391580429,0.38474052,0.37257381700000003,0.35512971200000004,0.33957785700000004,0.33109535100000004,0.32999064899999997,0.322170609,0.31427772,0.288509597,0.263053863,0.23989363600000002,112.1133774,108.14584640000001,101.8532304,93.32804895,82.24896418,71.93656711,60.59586634,52.96082385,49.63114753,46.9386414,45.73667529,45.85144272,44.97558051,44.45796792,44.88465343,43.86707574,43.45195902,43.02112863,43.22027466,43.88751203,44.61488719,45.36961162,48.13012819,48.93743171,48.61293157,45.89650347,43.11356305,40.0874942
