,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,Country or region,Outcome,democ_2018,latitude,within_tropics
87,7.49,15.198703699999998,7.95,PAK,63.5,38.15909091,60.03333333,Pakistan,1,1.0,30.375321000000003,0
88,1.61,4.2472222219999995,1.723333333,PAN,75.0,66.56363636,73.93333333,Panama,1,1.0,8.537981,1
89,2.1,5.34537037,2.2366666669999997,PRY,88.6,68.85,86.66666667,Paraguay,1,1.0,-23.442503,1
90,1.5,10.10333333,1.62,PER,76.2,63.20454545,74.56666667,Peru,1,1.0,-9.189967,1
91,2.81,6.325185185,2.91,PHL,73.9,64.12272727,72.5,Philippines,1,1.0,12.879721,1
92,0.47,2.278518519,0.49,POL,97.2,90.0,96.46666667,Poland,1,1.0,51.919438,0
93,0.37,3.2690740739999997,0.37,PRT,99.7,96.20454545,99.6,Portugal,1,1.0,39.399871999999995,0
94,0.78,3.298627451,0.923333333,ROU,79.1,74.10454545,78.63333333,Romania,1,1.0,45.943160999999996,0
95,0.76,2.215,0.856666667,RUS,72.2,72.46818182,72.2,Russia,1,0.0,61.52401,0
96,3.79,17.84537037,4.216666667,RWA,61.6,46.60909091,59.96666667,Rwanda,0,0.0,-1.940278,1
97,0.74,5.393809524,0.846666667,SAU,100.0,96.61363636,100.0,Saudi Arabia,1,0.0,23.885942,1
98,4.54,18.22407407,4.9966666669999995,SEN,47.6,40.51818182,46.6,Senegal,0,1.0,14.497401000000002,1
99,11.05,27.15888889,12.25,SLE,13.3,11.4,12.96666667,Sierra Leone,0,1.0,8.460555000000001,1
100,0.56,1.207878788,0.6,SVK,98.8,98.87272727,98.8,Slovakia,1,1.0,48.669026,0
101,0.21,0.8021212120000001,0.24,SVN,99.1,99.1,99.1,Slovenia,1,1.0,46.151241,0
102,3.71,7.69425,4.0033333330000005,ZAF,66.4,57.45909091,65.26666667,South Africa,0,1.0,-30.559482,1
103,0.33,3.3531481480000003,0.35,KOR,100.0,100.0,100.0,South Korea,1,1.0,35.907757000000004,0
104,0.31,1.48962963,0.32,ESP,99.9,99.9,99.9,Spain,1,1.0,40.463667,0
105,0.88,4.095740741,0.953333333,LKA,95.1,81.71363636,94.56666667,Sri Lanka,0,1.0,7.873054,1
106,5.39,12.64592593,5.876666667,SWZ,57.5,52.17272727,57.5,Swaziland,0,0.0,-26.522503000000004,1
107,0.28,0.84037037,0.29,SWE,99.3,99.3,99.3,Sweden,1,1.0,60.128161,0
108,0.42,1.116851852,0.433333333,CHE,99.9,99.9,99.9,Switzerland,1,1.0,46.818188,0
109,5.4,16.34074074,5.856666667000001,TZA,15.6,9.654545455,14.5,Tanzania,0,0.0,-6.369028,1
110,0.95,5.661851852000001,1.046666667,THA,93.0,91.05,93.1,Thailand,1,0.0,15.870032,1
111,7.29,16.465,7.77,TGO,11.6,11.45909091,11.56666667,Togo,0,0.0,8.619543,1
112,1.3,9.099423077,1.4,TUN,91.6,81.9,90.93333333,Tunisia,0,1.0,33.886917,0
113,1.16,10.74277778,1.3433333330000001,TUR,94.9,88.25,94.1,Turkey,0,0.0,38.963745,0
114,4.9,16.791296300000003,5.53,UGA,19.1,15.71363636,18.76666667,Uganda,0,0.0,1.373333,1
115,0.88,2.082790698,0.943333333,UKR,95.9,94.94444444,95.83333333,Ukraine,0,0.0,48.379433,0
116,0.91,5.030555556,0.8733333329999999,ARE,97.6,97.43636364,97.5,United Arab Emirates,1,0.0,23.424076,1
117,0.43,1.286296296,0.446666667,GBR,99.2,99.2,99.2,United Kingdom,1,1.0,55.378051,0
118,0.66,1.48537037,0.68,USA,100.0,99.74545455,100.0,United States,1,1.0,37.09024,0
119,0.82,3.3485185189999997,0.893333333,URY,96.4,93.60454545,96.1,Uruguay,1,1.0,-32.522779,1
120,2.25,6.74,2.566666667,UZB,100.0,91.65909091,100.0,Uzbekistan,1,0.0,41.377491,0
121,3.09,3.97462963,2.286666667,VEN,94.4,88.22272727,94.26666667,Venezuela,0,0.0,6.42375,1
122,2.09,5.2826,2.16,VNM,78.0,53.79090909,74.7,Vietnam,0,0.0,14.058323999999999,1
123,6.0,15.89277778,6.51,ZMB,43.9,41.21818182,43.46666667,Zambia,0,0.0,-13.133897,1
124,5.03,10.21351852,5.713333333,ZWE,36.8,39.0,37.16666667,Zimbabwe,0,0.0,-19.015438,1
