Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BEL,30647.82135,31093.86107,31441.97729,31018.13959,31920.55613,32613.407839999996,33068.39538,34212.48829,34813.86215,35971.850419999995,37188.64369,37361.71844,37856.86471,37990.71331,39201.527160000005,39802.97227,40532.27304,41623.441739999995,41619.34008,40355.57312,41085.918939999996,41248.72534,41046.48119,40928.13661,41360.395580000004,41708.21234,42083.6443,42658.57617
BEN,1462.677421,1473.862526,1465.570579,1497.74264,1476.539343,1515.06774,1531.642807,1571.1690609999998,1585.785066,1621.900868,1666.467464,1703.01513,1728.6968789999999,1734.6953,1757.902979,1735.97415,1752.9577399999998,1805.622568,1841.1884469999998,1831.881827,1818.7784609999999,1820.894693,1855.953118,1934.649107,2001.077289,1987.14192,2009.6183210000002,2064.236334
BFA,844.3421676,896.5984778,874.8064446000001,880.8914925,868.4635322999999,893.2406808000001,964.5869206,997.3647514,1040.6674380000002,1086.616198,1075.395337,1114.202253,1129.740538,1183.09488,1200.417062,1266.361537,1305.924877,1338.838375,1393.696993,1392.200194,1423.377706,1472.716482,1521.454295,1562.3047080000001,1582.333697,1596.334581,1642.322003,1703.101629
BGD,1287.9336640000001,1301.6996589999999,1341.763341,1374.418906,1397.318619,1437.639731,1470.907452,1504.87169,1550.318035,1590.251667,1641.958768,1692.8291190000002,1725.6320050000002,1775.978154,1838.76198,1929.938743,2031.271293,2148.473993,2252.168733,2339.865769,2442.728888,2570.850145,2706.586745,2835.76662,2973.041565,3132.56754,3319.352805,3523.983851
BGR,9296.952206,8596.513422,8057.403388,8001.709525,8174.895227,8446.248528,8549.747706,8508.297257,8861.855123000001,8376.100312,8833.446566,9350.786052,10123.37052,10730.011770000001,11507.0544,12419.92875,13374.91767,14463.18326,15442.151740000001,14984.606380000001,15283.291480000002,15676.15054,15772.096590000001,15997.3568,16302.32056,17000.17804,17794.54276,18563.30662
BHR,35113.33294,37996.64308,39506.17879,43499.08919,42334.37561,42896.71425,43504.5116,43624.15943,44315.45925,44562.3398,44942.36902,43887.071189999995,43147.496380000004,43187.49918,43355.30565,43201.80669,42673.080630000004,42755.4262,42218.14849,40717.18041,40570.53569,40164.58274,40960.33318,42680.20134,43837.34406,43926.47404,43642.97257,43290.70452
BHS,30991.968339999996,29152.3357,27508.445089999997,27081.17517,27455.03355,28221.966969999998,29036.65599,29307.06201,30362.39197,32142.34177,32990.76145,33271.18322,33505.41317,32391.313789999997,31990.34987,32401.13972,32565.70703,32409.687039999997,31080.158010000003,29263.80325,29221.99118,28941.02823,29395.61972,28871.35826,28456.81653,28407.125819999997,27613.517939999998,27717.8473
BLR,8353.906165,8249.611365,7441.588637999999,6860.582044,6065.001789,5451.833288000001,5623.240042,6290.914649,6851.859525,7114.684723,7562.883999,7960.986054999999,8416.042566,9072.066185,10180.00299,11213.2496,12410.32978,13539.60277,14972.26946,15035.69965,16235.17145,17166.69564,17479.9294,17656.11934,17944.20985,17229.55519,16773.19355,17167.967259999998
BLZ,5165.86722,5601.390136,6172.505029,6450.4148829999995,6330.605036,6208.550173,6099.414071,6089.648567,6079.393137,6371.319544,6960.676754000001,7089.9483709999995,7247.575992,7719.672688,7875.045458,7873.144593000001,8022.386276,7902.772467,7951.197453,7809.849845999999,7876.809586,7857.248065999999,7974.034168000001,7856.379109,7999.573692,8127.659294,7919.147241,7824.362459
BOL,3707.24493,3826.432549,3813.526471,3898.6463439999998,4000.832354,4106.168962,4201.558009,4323.761614999999,4453.294757,4386.792444,4412.255566,4403.716952000001,4431.306088,4470.309111,4575.172868,4694.916606000001,4836.432529,4972.496270000001,5191.131904,5278.038268,5407.47022,5598.508445,5792.933051,6090.69557,6324.827258,6531.5193979999995,6707.956184000001,6885.828576999999
BRA,10344.86439,10319.92934,10099.77562,10398.16036,10776.43311,11072.72529,11137.589259999999,11334.82075,11197.70194,11081.654620000001,11370.970940000001,11368.46645,11559.5606,11541.97503,12058.207709999999,12298.58795,12643.56501,13268.4139,13802.817990000001,13649.86584,14537.56719,14973.098469999999,15119.91214,15432.89363,15374.26151,14702.591269999999,14077.12141,14103.451530000002
