,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean,Country or region,Outcome,
108,4.42,13.32869565,4.786666667,MDG,12,10.38636364,11.73333333,34.10769231,38.33333333,43.1,0.044042987,0.038870148,0.009085761,1.50583061,1.564607545,1.876902473,Madagascar,0,
121,5.54,22.19204082,6.193333333,MWI,41,34.42272727,40.13333333,24.5,23.26666667,26.3,0,0.013476796,0.074071891,1.702387093,1.798617821,2.251472697,Malawi,0,
122,0.79,3.003703704,0.76,MYS,96,91.24545455,95.96666667,3.692307692,3.033333333,2.9,0.005456635,0.027775937,0.009594684,1.966921368,1.996159349,2.100770278,Malaysia,0,
113,10.6,27.93529412,11.36666667,MLI,24.7,18.30454545,23.76666667,10.12307692,5.966666667,6,0,0.002615911,0.00329389,5.240823036,5.753683349,6.100939625,Mali,0,
114,0.64,1.679259259,0.656666667,MLT,100,100,100,2.5,2.5,2.5,0,0.001468476,0,1.217819969,1.194927708,1.411593381,Malta,1,
119,7.9,14.99907407,8.413333333,MRT,40,24.79090909,39.13333333,10.23076923,7.9,11.3,0.090061976,0.011448649,0,3.798574593,3.87957014,4.549151392,Mauritania,0,
120,1.31,4.307592593,1.43,MUS,93.1,91.65454545,93.13333333,5.415384615,5.533333333,5.8,0,0.014677241,0,2.555377989,2.64340181,2.551482472,Mauritius,1,
110,1.34,6.371851852,1.476666667,MEX,85.2,74.94545455,84.4,4.869230769,4.2,3.8,0.074230691,0.034734607,0.011180313,34.09992849,22.55951991,17.37018026,Mexico,1,
107,1.55,3.684883721,1.6,MDA,76.4,73.19,76.1,,,,0,0.005704515,0,6.033488813,6.32117878,10.46090389,Moldova,1,
117,1.72,8.718611111,1.886666667,MNG,59.7,50.32,58.5,27.53076923,18.26666667,18.7,0.08026792,0.050946228,0.019316752,8.381313757,8.597978188,10.34986216,Mongolia,0,
116,0.35,1.391333333,0.416666667,MNE,95.9,90.96428571,95.1,2.5,2.5,2.5,0,0.000563531,0,3.531827325,3.565436258,4.770408663,Montenegro,1,
105,2.33,11.19555556,2.543333333,MAR,76.7,64.20454545,76.23333333,5.692307692,4.033333333,3.9,0,0.038685268,0.009479371,1.155156008,1.193426283,1.134879977,Morocco,0,
118,7.24,21.39387755,7.886666667,MOZ,20.5,14.37272727,20.16666667,35.08461538,29.76666667,30.5,0.002733095,0.026774184,0.025209339,6.343194005,6.593623218,6.11624128,Mozambique,0,New Caledonia
115,4.86,11.57891304,5.243333333,MMR,79.6,64.01904762,79.46666667,29.23846154,11.63333333,10.5,0.000733159,0.998008478,0.025568806,1.683798873,1.710109129,2.480813212,Myanmar,0,Puerto Rico
123,4.42,8.043617021,4.713333333,NAM,34.4,27.96818182,33.56666667,29.36153846,28.2,25.4,0,0.051190455,0,14.69095793,15.12937689,21.58217111,Namibia,0,Syria
129,3.37,16.84759259,3.663333333,NPL,45.8,22.29090909,42.63333333,15.18461538,9.4,9.5,0.084431619,0.127744033,1.66928788,1.627702302,1.66167261,1.705581588,Nepal,0,Taiwan
127,0.39,1.034814815,0.403333333,NLD,97.7,98.02727273,97.76666667,2.5,2.5,2.5,0,0.001083273,0.000230696,0.857513121,0.856507672,1.34236934,Netherlands,1,Turks and Caicos
131,0.53,1.380740741,0.556666667,NZL,,,,2.5,2.5,2.5,0,0.063793663,0.010659997,1.340484442,1.292217202,1.737533481,New Zealand,1,
126,1.72,9.483888889,1.853333333,NIC,67.9,54.89090909,67.46666667,24.22307692,17.06666667,16.2,0.064849933,0.293299361,0.025609109,7.374719902,7.837056258,11.34242396,Nicaragua,1,
124,8.45,26.69,9.36,NER,10.9,6.745454545,10.46666667,14.82307692,10.93333333,14.4,0.041821866,0.006223398,0.024069739,4.918061783,4.998569328,6.170399052,Niger,0,
125,10.02,21.1682,10.76333333,NGA,29,33.95454545,29.6,7.161538462,7.966666667,11.5,0.00127387,0.003522917,0.001788902,3.461111384,4.235021854,4.630289151,Nigeria,0,
112,1.37,2.687272727,1.22,MKD,90.9,90.19166667,90.93333333,5.938461538,4.366666667,4.1,0,0.002007089,0.051842945,1.813182011,1.774401208,2.538317668,North Macedonia,0,
198,,,,MNP,79.7,73.95,79.7,,,,0,0.06279398,0,5.071153035,4.920114649,5.487320483,Northern Mariana Islands,,
128,0.26,1.013703704,0.27,NOR,98.1,98.1,98.1,2.5,2.5,2.5,0,0.011894883,0.011523387,0.72927462,0.735769528,1.10031467,Norway,1,
134,7.49,15.1987037,7.95,PAK,63.5,38.15909091,60.03333333,22.84615385,21.06666667,20.5,0.002977167,0.256712729,0.030763627,4.352146853,4.606703501,5.441810235,Pakistan,1,
135,1.61,4.247222222,1.723333333,PAN,75,66.56363636,73.93333333,19.53846154,9.333333333,9.2,0.005272327,0.053288714,0.04441064,16.31912827,17.76986168,13.9443718,Panama,1,
143,2.1,5.34537037,2.236666667,PRY,88.6,68.85,86.66666667,12.1,12.06666667,11.2,0,0.022520451,0.016753023,12.18520224,12.00423717,13.98080667,Paraguay,1,
136,1.5,10.10333333,1.62,PER,76.2,63.20454545,74.56666667,16.96923077,9.2,8.8,0.07079036,0.079201183,0.023486786,3.572673519,3.663691214,4.854703602,Peru,1,
137,2.81,6.325185185,2.91,PHL,73.9,64.12272727,72.5,16.00769231,14.1,13.7,0.010381196,0.156558499,0.012593242,15.35753948,15.1458903,15.22155581,Philippines,1,
140,0.47,2.278518519,0.49,POL,97.2,90,96.46666667,2.5,2.5,2.5,0,0.002000986,0.000424738,1.734790215,1.744396303,2.887883527,Poland,1,
142,0.37,3.269074074,0.37,PRT,99.7,96.20454545,99.6,2.5,2.5,2.5,0,0.004178371,0.000935496,1.326250297,1.369491741,2.279712275,Portugal,1,
145,0.76,2.602444444,0.806666667,QAT,98,99.25,98,,,,0,0,0,0.778852147,0.820649725,1.034563172,Qatar,1,
146,0.78,3.298627451,0.923333333,ROU,79.1,74.10454545,78.63333333,2.5,2.5,2.5,0.003448383,0.005367229,0.001039497,2.085925371,2.071621154,3.473046053,Romania,1,
147,0.76,2.215,0.856666667,RUS,72.2,72.46818182,72.2,2.992307692,2.5,2.5,0.000872077,0.010393187,0.004496448,14.80040858,15.66097505,27.89816896,Russia,1,
148,3.79,17.84537037,4.216666667,RWA,61.6,46.60909091,59.96666667,42.38461538,32.56666667,36.1,0.004408264,0.012013589,0.027658839,2.947404236,3.296955641,5.437496005,Rwanda,0,
156,0.22,0.738,0.246666667,SMR,,,,,,,,,,,,,San Marino,,
149,0.74,5.393809524,0.846666667,SAU,100,96.61363636,100,7.130769231,5.466666667,5.5,0.004240764,0.018198932,0.01704237,0.877016747,0.890466669,0.812375234,Saudi Arabia,1,
151,4.54,18.22407407,4.996666667,SEN,47.6,40.51818182,46.6,19.72307692,12.1,11.3,0,0.012021491,0.001915424,1.004109266,1.026491582,1.214715399,Senegal,0,
158,0.57,1.826666667,0.63,SRB,96.4,96.78636364,96.5,5.985714286,5.9,5.6,0,0.001793152,0.015719311,2.457650543,2.557025917,4.051716396,Serbia,,
154,11.05,27.15888889,12.25,SLE,13.3,11.4,12.96666667,33.68461538,25.26666667,25.5,0.352285386,0.010611898,0.004503251,1.370973547,1.417785488,1.953388927,Sierra Leone,0,
152,0.28,1.439074074,0.273333333,SGP,100,99.68636364,100,,,,0,0.000304724,0,0.463616131,0.469363462,1.23495176,Singapore,1,
162,0.56,1.207878788,0.6,SVK,98.8,98.87272727,98.8,5.584615385,3.3,2.7,0,0.007812035,0.001924061,2.428877145,2.508625496,3.248991682,Slovakia,1,
163,0.21,0.802121212,0.24,SVN,99.1,99.1,99.1,2.5,2.5,2.5,0,0.008911771,0.005312753,0.980321224,0.992963238,1.79010238,Slovenia,1,
157,12.72,17.35677419,13.56333333,SOM,,22.16315789,,,,,0,0.095945612,0.002146961,8.302061601,8.797472813,14.8093918,Somalia,0,
190,3.71,7.69425,4.003333333,ZAF,66.4,57.45909091,65.26666667,4.530769231,5.3,6.1,0.00294612,0.007148353,0.002952361,28.57172516,27.93302166,48.5162956,South Africa,0,
93,0.33,3.353148148,0.35,KOR,100,100,100,2.5,2.5,2.5,0,0.039418247,0.006463074,1.342270135,1.39776877,2.123995998,South Korea,1,
159,9.64,20.50942857,9.64,SSD,6.7,6.6,6.666666667,,,,0,0.006781593,0,7.783297045,11.23170489,10.77776696,South Sudan,0,
53,0.31,1.48962963,0.32,ESP,99.9,99.9,99.9,2.5,2.5,2.5,0,0.003838049,0.001131285,0.714581908,0.744099101,1.057665301,Spain,1,
100,0.88,4.095740741,0.953333333,LKA,95.1,81.71363636,94.56666667,16.51538462,11.13333333,10.9,0.028710056,1.049590862,0.084870081,3.530351982,3.596898164,5.856578541,Sri Lanka,0,
92,1.37,3.498863636,1.386666667,KNA,,87.3,,,,,,,,,,,St. Kitts and Nevis,,
