Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CRI,0,0,0,0,1,0,1.000000001,1.999999995,0,0,0,1.000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,0,0,3.000000008,0,2.999999998,0,0,1.999999923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,2.000000019,0,2.999999954,0,0,0.03013269,0.039508629,0,0,0,0,0,0,0,0,1.000000004,0,0,0,0,0,0,0,0
CZE,0,1.999999992,0,0,0,1,1.999999999,1,0,0,0,1.000000022,0,0,0,0,0,0,0,0,0,0,0,1,5.999999985,0,0,0
DEU,2,9.999999996,21,0,2,24.00000052,15.00000043,16.00000076,8.999999268,7.999999988,11.99999994,6.000000105,10.00000001,4.000000112,6.000000036,6.000000007,6.000000098,3.000000025,6.00000006,2.999999998,5.999999896,9.000000021,2.000000099,1,1.00000003,2.999999973,39.00000001,0
DJI,60.99999959,66.99979302,356.9961001,33.00001334,44.99999393,0,0,22.00000115,19.00000176,37.99999159,0,0,1.999999978,0,0,0,0,0,35.00000204,3.999999947,3.000000066,0,0.999999994,0,2.000000012,27.00000197,0,0.999999997
DMA,0,0.999999839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000183,12.99999982,2.999999057,0,3.000000727,0,0,0,1.999999999,1,0
DOM,2.999999997,1.000000001,0.999999999,0,1.999999999,0,2.999999997,3.000000015,0,0,0,0,0,0,0,0,0.999995034,0,0,0,0,0,0,1.000000028,0,0,0,0
DZA,3.999999995,75.99999971,510.0000125,826,2428.000154,3424.999238,1620.000164,4904.99967,4430.000811,1518.99995,2534.000207,1330.000005,1613.000229,931.9999426,576.9999903,323.9999945,405.9999934,699.0000237,505.0000125,637.0000069,318.0000018,341.0000022,289.0000013,216.0000006,113.999999,114,92.00000004,134.9999963
ECU,2.999999987,0,2.000000001,0,0,14.99999967,7.999999618,0.999999999,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0
EGY,24.99999997,8,62.0000002,108,334.9999944,361.00001,245.9999978,235.9999998,31.00000001,5.999999999,2,3.999999999,23.00000011,0,61.99999986,129.0000001,23.99999994,0,16,11,45.00000003,118.0000019,116.0000003,384.0000077,262.9999996,223.999997,366.9999991,1188.999833
ERI,30702,6042.000009,0,21,0,0,19.99999983,30.99999701,113.0000373,24082.55725,1812.000061,0.538822232,1.538822235,81.99999673,57.07764718,161.2693891,2.053882215,11.00000014,224.3882206,8.323293352,86.99998986,25.99999958,0,80.00000904,10.00000004,9.999999808,25.00000056,0
ESP,51.00000007,89.99999996,52.00000009,12,28,30.99999997,8.999999998,16.99999999,17.00000003,5.000000004,49.99999973,53.00000035,14.99999998,19.99999995,384.0000012,18,2,2,6.000000005,6,1,1,0,0,0,0,0,0
EST,0,0,0,0,0,0,1,0,0,0,0,0.999999999,0,0,0,0,0,2.000000048,0.999999955,3.999999919,0.999999916,1.999999919,0,0,0,0,0,0
ETH,19170.99996,6383.003208,504.000135,62,82.00000163,47.99999992,185.0000422,33.97545138,4043.402299,41258.20457,51183.00138,378.6751467,615.0117961,895.3356788,583.9733664,245.2486828,210.1953371,858.3589107,1005.852617,1004.589254,561.8843968,385.4136842,442.9998153,398.380909,107.5692209,404.1218034,776.9977021,1061.000202
FIN,0,0,0,0,0,0,1.000000271,2.999999963,0.99999972,2.000000887,2.999999964,2.999999513,10.99999796,1.00000015,2.000000377,2.999999974,0.999999902,11.99999985,3.000000051,0.999999851,1.000000067,2.000000001,5.000000838,1.999999451,1.000001256,0,0,0
FJI,0,0,1,0,0,0,0,0,0,0,6.999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,8.000000219,12.00000004,17.00000028,6.999999915,12.99999987,27,22.99999994,3.000002042,5.999999988,0.99999999,17.99999945,4.999999925,7.000000084,5.999998769,7.999999165,6.000001245,8.000000457,9.000000194,10.99999999,11,16,25.99999998,12,3.999999292,2.999999978,295.0000031,182.000001,0
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,7.99999977,0,1.999999969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001,0,0
GBR,127.2671478,128.8807727,135.9020389,51.90128723,89.07371261,21.00001387,21.99996271,30.00000027,86.00001105,56.99996116,12.99999797,9.999998919,4.999999998,54.99999998,23,81.00000933,68.00000002,92.99999998,55.00000005,112,103,47,45,12.99999998,6.999998092,2.999999999,8.99999994,0
GEO,0,53.99999975,880.0002948,1836.999635,29.00000002,66.00000038,2.999999997,44.99999902,191.99999,45.81194457,23.81194493,70.05972379,150.9999943,19.99999998,32.00000084,27.10451901,30.81194503,8.324778029,634.0001614,7.121791744,6.999999998,4.653752927,21.14931384,12.00000012,2.420903918,2.435835282,1,0
GHA,0,0,0,0,12.99999999,2.000000001,2.999999998,3.000000006,4.000000015,0,33.00000017,17.99999994,37.99999984,7.000000003,2.000000001,2,2.999999999,5.999999995,28.99999979,20.99999986,3.999999995,4.99999999,14.99999999,15.99999997,11.99999998,25.00000004,27.00000019,48.99999986
GIN,0,0,0,0,1.999999996,0,29.00000003,0,38.99999889,93.99998876,1152.999402,489.0000295,14.00000006,0,4.000000011,3.999999993,17.00000034,44.99999972,3.99999998,160.0000024,1.999999999,4.999999992,9.999999983,95.99999189,0,7.999999978,1.000000001,28.00000013
GMB,0,0,0,0,13.0000006,0,0,0.999999996,0,0,2.000000012,2.000000012,0.999999996,0,0.999999997,3.000000023,0,0,0,0,0,0,8.000000055,0,0,0,0,3.000000016
GNB,0,0,2,0,0,0,0,0,604.9999703,199.9998821,14.00000048,13.00000108,0.999999991,3.000000052,5.999999936,4.999999837,67.99998338,0,4.999999901,4.999999952,0,1.999999996,8.000000268,0,22.00000108,0,0,0
GNQ,0,0,0.999999989,0,0,0,0,0,6.000000046,0,0,0,0,1.000000004,11.99999998,0,0,0,0,2.999999952,7.000000316,0,1.000000003,0,0,0,0,0
GRC,3.000000157,15.00000005,2,0,3,0,2.000000088,2.000000002,0,0.999999999,2,0,0,0,0,0,0,0,0,1,4.000000006,0,0,2,0,1,66.00000022,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,749.0003062,498.9998175,420.9999378,218.000059,308.9999644,162.0000034,33.0000004,24.00000021,1,2.999999997,12.00000095,17.99999865,23.00000068,30.00000472,27.00000105,2,5.000000009,5,0,0,0,27,1.999999999,4.000000005,0,0,0,0
