,Unnamed: 0,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,ped_labor2018,ped_labor_14mean,ped_labor_3mean,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean_x,Overall rank,Country or region,Score,Outcome,Unnamed: 24
10,10,2.3,7.55625,2.646666667,AZE,89.3,70.56111111,86.3,7.730769231,2.5,2.5,,,,0.0,0.00451153,0.0,3.6582288139999997,3.692061405,6.9180576579999995,90.0,Azerbaijan,5.207999999999999,0.0,
11,11,6.12,18.331,6.726666667000001,BDI,48.0,44.43636364,47.76666667,,,,,,,0.00735205,0.002945272,0.06670595,0.571539636,0.588518708,1.015587086,,,,,
12,12,0.38,1.391296296,0.4,BEL,99.5,99.5,99.5,2.5,2.5,2.5,29.625999999999998,33.572359999999996,28.8472,0.0,0.001632481,0.000617709,1.3392598070000001,1.395402125,1.944448119,18.0,Belgium,6.922999999999999,1.0,
13,13,9.83,19.758703699999998,10.36333333,BEN,19.7,12.23181818,19.0,15.17692308,9.9,10.4,,,,0.0,0.006753751,0.0,4.992135978,5.2120030680000005,5.585928517,102.0,Benin,4.883,0.0,
14,14,8.12,22.65962963,8.85,BFA,19.7,12.19090909,19.0,23.63076923,20.43333333,21.3,,,,0.001098282,0.003124649,0.004221188,10.28283988,10.38633362,10.81699033,115.0,Burkina Faso,4.587,0.0,
15,15,3.24,15.40537037,3.643333333,BGD,60.6,45.84545455,58.66666667,17.33846154,16.36666667,15.2,,,,0.018405907,0.529686813,0.015913423,1.5691046780000002,1.619639094,2.289407558,125.0,Bangladesh,4.456,0.0,
16,16,0.75,2.191372549,0.833333333,BGR,86.0,85.65909091,86.0,5.715384615,3.833333333,3.0,,,,0.0,0.0026581609999999996,0.0027757159999999997,2.526974231,2.48101248,3.992941332,97.0,Bulgaria,5.011,0.0,
17,17,0.73,4.551111111,0.76,BHR,99.2,99.12727273,99.2,,,,,,,0.0,0.0,0.0,1.426544899,1.484841773,1.815308254,37.0,Bahrain,6.199,1.0,
18,18,0.72,2.252826087,0.806666667,BHS,92.0,89.45555556,92.0,,,,,,,0.0,0.056450292,0.450762156,28.62287183,29.94561622,21.9075716,,,,,
19,19,0.57,1.349,0.6033333329999999,BIH,94.8,94.89444444,94.8,3.284615385,2.5,2.5,,,,0.0,0.0017278170000000002,0.025906841,2.435472575,2.4322172490000002,3.561843642,78.0,Bosnia and Herzegovina,5.386,0.0,
20,20,0.37,1.300588235,0.41,BLR,94.3,94.8,94.36666667,2.7769230769999997,2.5,2.5,,,,0.0,0.0012300619999999999,0.000785695,6.8299206120000004,7.044985142000001,11.56867098,81.0,Belarus,5.3229999999999995,0.0,
21,21,1.42,4.778297872,1.563333333,BLZ,90.5,82.95,90.43333333,5.246153846,6.6333333329999995,6.5,,,,0.0,0.204807696,0.0,26.83939928,26.68303371,19.23371725,,,,,
22,22,3.49,14.76148148,3.753333333,BOL,50.3,38.11818182,49.3,28.93076923,20.3,19.8,,,,0.0,0.058894695999999996,0.090600292,5.93121778,6.130053307000001,8.013152796,61.0,Bolivia,5.779,1.0,
