Equatorial Guinea,GNQ,9230000,60230000,21270000,13240000,20150000,20930000,29150000,38130000,26210000,31360000,32080000,31780000,85070000,24550000,14450000,4630000,520000,7490000,6920000,6920000,..,..
Eritrea,ERI,4680000,4500000,178020000,284700000,226670000,316960000,263520000,349740000,126190000,158530000,145420000,142620000,162310000,133410000,135970000,81310000,84190000,94120000,66820000,79130000,..,..
Estonia,EST,..,..,63830000,68500000,54410000,84300000,135430000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eswatini,SWZ,48140000,53630000,13130000,29150000,22160000,34190000,21920000,46710000,34780000,50670000,70010000,55770000,91140000,124090000,89620000,117790000,86370000,92630000,147490000,146580000,..,..
Ethiopia,ETH,211100000,1009250000,687800000,1103600000,1324740000,1621160000,1830300000,1929120000,2034550000,2606550000,3316250000,3823760000,3455160000,3495890000,3243290000,3885540000,3583960000,3235490000,4073520000,4117500000,..,..
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,35870000,49580000,29370000,26180000,34170000,51250000,65530000,66080000,55800000,50880000,45250000,66710000,75840000,75390000,105370000,91220000,94240000,102480000,117420000,145890000,..,..
Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,159460000,259660000,402590000,388330000,418390000,518540000,579750000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,55580000,131230000,11850000,8640000,71660000,-10920000,40040000,50300000,31210000,53210000,64120000,77950000,106270000,69450000,68850000,87210000,111270000,98780000,41500000,106350000,..,..
"Gambia, The",GMB,52640000,97260000,49640000,52730000,64470000,63290000,61340000,60760000,75200000,97200000,94630000,125170000,121100000,135710000,138980000,112300000,100340000,107680000,91720000,269620000,..,..
Georgia,GEO,..,..,171950000,294120000,317220000,228670000,314210000,293340000,357190000,381930000,887980000,906160000,627140000,587420000,659190000,646310000,563760000,448930000,462740000,446270000,..,..
Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ghana,GHA,190810000,559720000,600650000,644850000,689370000,985040000,1419010000,1152640000,1236250000,1162920000,1312170000,1584680000,1697220000,1803870000,1799290000,1328170000,1123130000,1768690000,1316220000,1256700000,..,..
Gibraltar,GIB,11150000,560000,40000,730000,10000,30000,190000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,3850000,13800000,16870000,11290000,10220000,10780000,15600000,52600000,26810000,26090000,31800000,45830000,33850000,12030000,7660000,12530000,39710000,24100000,8580000,5840000,..,..
Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,72600000,201370000,264350000,226320000,248940000,246970000,216770000,254220000,485310000,450740000,535190000,376910000,389230000,378410000,304890000,496600000,279840000,411290000,265450000,366510000,..,..
Guinea,GIN,88670000,291580000,153410000,289250000,254190000,250630000,274810000,192910000,173120000,257610000,351220000,217660000,220970000,202120000,633360000,467540000,563120000,538040000,555430000,457330000,..,..
Guinea-Bissau,GNB,58100000,126350000,81070000,60690000,59880000,145370000,77850000,66760000,88200000,125570000,135690000,149400000,129000000,120640000,80320000,105630000,110250000,95040000,196820000,113420000,..,..
Guyana,GUY,41730000,168310000,115930000,112140000,71830000,96060000,145140000,149800000,174390000,124120000,163060000,174200000,167440000,158540000,114920000,101240000,160610000,32140000,69900000,51130000,..,..
Haiti,HTI,103920000,167390000,208010000,170330000,155770000,212520000,298800000,425810000,581480000,716920000,927310000,1129700000,3073470000,1691760000,1273350000,1152130000,1082360000,1045860000,1071680000,980230000,..,..
Honduras,HND,102480000,448490000,449770000,658400000,422550000,389280000,655730000,691860000,594290000,465320000,566340000,452630000,634250000,618030000,566190000,625870000,606280000,540520000,412400000,441340000,..,..
"Hong Kong SAR, China",HKG,10890000,38160000,4330000,3570000,3960000,5020000,6950000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,..,67010000,252170000,417490000,160330000,247990000,302010000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,2185960000,1398930000,1383420000,1729610000,1763710000,720900000,778310000,1875960000,1383580000,1329210000,2016530000,2481020000,2831340000,3270220000,1681850000,2456340000,2991820000,3174350000,2678890000,3093640000,..,..
Indonesia,IDN,941310000,1715860000,1663370000,1468960000,1303890000,1775360000,135250000,2536760000,1318460000,854330000,1174950000,1046120000,1389890000,402040000,69010000,69470000,-381940000,-33400000,-110840000,233570000,..,..
"Iran, Islamic Rep.",IRN,28160000,106450000,129870000,114560000,114540000,131050000,188650000,100670000,117240000,103770000,100470000,92570000,112440000,105790000,151790000,131610000,81170000,110900000,116190000,140280000,..,..
Iraq,IRQ,12430000,63090000,101830000,122700000,113380000,2287650000,4650650000,22057090000,8889320000,9204340000,9884530000,2791230000,2178330000,1914690000,1300880000,1541540000,1369270000,1482940000,2287900000,2907470000,..,..
Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,892160000,1371890000,800000000,172350000,756870000,439990000,478850000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jamaica,JAM,125250000,270620000,8700000,54000000,24020000,6160000,82810000,39770000,37190000,28080000,85880000,149970000,139380000,39390000,28060000,71590000,95990000,59070000,26850000,58790000,..,..
Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
