2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4.4,4.3,4.5,4.6,4.7,4.6,4.6,4.6,4.4,4.1,3.7,3.3,3.1,3.2,3.3,3.2,3.1
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
37.7,36.0,33.9,31.4,29.1,27.0,25.9,24.7,23.9,22.3,21.1,19.6,18.7,17.7,17.2,16.7,16.6
2.5,2.5,2.5,2.9,3.3,3.4,3.4,3.4,3.5,3.8,4.5,5.9,7.6,9.3,10.5,10.9,10.9
38.4,39.8,40.6,40.7,40.0,39.4,39.0,38.2,37.3,36.5,36.5,36.7,37.2,37.6,38.0,38.4,38.8
18.6,18.5,18.9,18.9,18.6,18.2,17.4,16.5,15.4,14.5,13.8,13.1,12.3,11.6,11.0,10.8,10.9
13.6,13.0,12.6,12.3,11.9,11.7,11.7,12.0,12.3,12.5,12.7,13.1,13.3,13.3,13.1,12.9,12.8
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
5.3,4.5,3.6,2.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
22.6,21.9,20.2,18.1,16.0,14.6,14.0,13.8,14.0,14.0,13.7,13.2,12.6,12.2,11.9,11.6,11.4
6.8,6.7,6.4,6.0,5.7,5.7,5.6,5.5,5.5,5.4,5.2,4.9,4.6,4.2,4.0,3.9,3.9
34.4,35.5,37.0,37.5,36.9,35.0,33.5,32.4,32.2,31.9,31.8,32.0,33.3,35.5,38.4,41.1,43.1
14.0,14.6,15.5,16.6,17.6,18.2,18.1,17.0,15.2,13.2,11.7,11.0,11.0,11.1,11.2,11.0,11.0
4.4,4.4,4.8,5.5,5.8,5.5,5.0,4.7,4.7,4.7,4.6,4.6,4.6,4.4,4.2,4.0,3.8
7.9,8.8,8.4,7.7,6.7,6.1,5.3,4.5,4.1,4.1,4.4,4.6,4.6,4.5,4.4,4.2,4.1
14.6,14.0,13.5,12.9,12.2,11.1,9.8,8.6,7.7,7.2,6.9,6.7,6.4,6.1,5.9,5.9,6.0
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
48.3,44.9,41.3,38.2,35.3,32.0,28.5,24.9,21.6,19.0,16.9,15.3,13.9,12.6,11.5,10.8,10.5
,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
35.1,33.4,32.7,32.5,32.2,31.0,29.1,26.6,24.2,22.2,20.8,19.5,18.6,18.1,18.2,18.5,18.7
40.3,40.2,39.2,38.2,37.5,37.0,35.9,35.0,33.4,31.9,30.0,28.9,28.6,29.1,29.8,30.4,30.5
11.6,11.4,11.4,11.5,12.1,12.1,11.5,10.2,9.3,8.7,8.2,7.8,7.2,7.1,7.2,9.4,11.3
6.6,6.3,6.0,5.7,5.5,5.2,5.2,5.0,4.9,4.7,4.8,5.1,5.4,5.5,5.5,5.6,5.8
27.1,26.4,27.0,27.4,27.3,26.1,24.5,23.2,22.3,22.0,21.8,21.7,21.7,22.1,23.2,24.5,26.3
2.8,3.2,3.5,3.7,3.8,3.9,4.1,4.2,4.2,4.0,3.7,3.5,3.4,3.2,3.0,2.9,2.9
26.2,24.4,24.3,24.3,24.5,25.1,26.7,29.5,33.3,36.4,37.4,36.1,33.5,30.5,28.0,26.1,25.4
7.6,7.5,7.6,7.8,8.0,8.2,8.2,8.2,8.1,8.0,7.7,7.5,7.3,7.6,8.3,9.8,11.6
21.6,19.7,18.5,17.1,15.9,15.1,14.4,13.5,12.4,11.7,11.3,10.9,10.6,10.3,10.2,12.3,14.4
9.3,9.0,9.0,8.3,7.4,6.5,6.1,6.0,6.0,6.1,6.2,6.5,6.7,7.1,7.8,9.0,11.5
32.6,29.3,27.4,26.2,25.4,24.4,23.4,22.6,22.1,21.6,20.9,20.0,19.0,17.8,17.0,16.4,16.2
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
22.0,21.4,20.4,18.7,17.2,16.0,15.2,14.0,12.6,11.2,10.1,9.4,9.2,9.3,9.4,9.5,9.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
11.9,11.5,11.7,11.7,11.3,10.5,9.5,8.3,7.1,6.1,5.6,5.3,5.1,5.1,5.1,5.3,5.4
14.8,14.9,15.1,15.1,14.8,14.5,13.8,13.1,12.6,12.2,11.8,11.5,11.3,11.0,10.7,10.6,10.8
23.4,24.8,25.8,25.5,24.5,23.3,22.4,21.7,21.3,21.1,21.1,21.1,21.0,21.1,21.2,20.9,20.5
27.7,26.2,24.3,23.3,23.8,22.9,21.0,18.3,16.3,14.7,13.2,11.8,10.5,9.7,9.1,9.2,9.2
21.8,21.7,22.3,22.6,21.6,19.6,17.6,15.7,14.2,12.6,11.2,10.2,9.5,9.3,9.3,9.0,8.8
20.4,19.7,19.1,18.5,17.4,16.3,15.2,14.1,13.3,13.0,13.3,13.7,14.1,14.2,14.2,13.9,13.7
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
37.5,37.1,35.5,34.5,34.1,35.4,37.3,39.3,40.8,41.5,41.8,41.7,41.6,41.7,42.3,42.8,43.4
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
12.9,12.2,11.5,11.0,11.2,11.9,12.4,12.6,12.8,12.7,12.2,11.9,12.0,12.3,12.2,11.7,11.2
4.6,4.3,4.0,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.2,4.2,4.1,4.2,4.2,4.3,4.4
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
5.1,4.4,3.7,3.1,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
55.6,50.0,46.0,45.4,45.5,45.3,44.0,42.0,39.5,36.9,35.0,33.5,32.3,31.6,32.1,34.0,36.1
6.1,6.4,7.0,7.6,7.9,7.9,7.7,7.7,7.7,7.6,7.0,6.4,5.7,5.5,5.4,5.5,5.5
,,,,,,,,,,,,25.4,25.2,25.1,25.1,25.2
28.7,27.6,26.7,25.2,23.4,21.6,19.2,16.9,14.7,13.6,13.1,13.0,12.7,12.4,12.2,11.7,11.3
15.0,14.5,13.6,12.9,12.3,11.9,11.4,11.2,10.9,10.7,10.6,11.1,12.1,13.0,13.2,12.7,12.3
39.6,40.3,40.0,39.6,38.8,37.0,34.6,32.2,30.4,28.7,27.0,25.2,24.5,24.7,25.4,25.7,25.5
11.0,9.3,8.9,9.3,10.0,10.5,10.8,11.0,11.4,11.9,12.4,12.5,12.3,11.8,11.3,11.0,10.3
,,,,,,6.0,6.0,6.0,5.9,5.9,6.0,6.1,6.0,6.0,5.7,5.6
17.8,14.5,12.3,10.9,9.9,9.4,9.4,10.1,11.3,12.9,14.6,15.5,14.8,12.9,10.7,9.8,10.2
